                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5027,                  4.331,                 2.8931,                 2.0413,                0.11106,                0.75752,                0.22935,                0.07647,                0.09705,                0.66195,                0.18251,                0.05161,                 1.9163,                 3.4505,                 19.393,                 1.6616,                0.00016,                0.00016,                0.00016
                      2,                 2.0177,                 2.9718,                 1.7171,                 1.6779,                0.34634,                0.52212,                0.29991,                0.10545,                0.25117,                0.52389,                0.21614,                0.07191,                 1.9551,                 3.3926,                 3.3637,                 1.6285,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.8571,                    2.8,                 1.4682,                   1.45,                0.48931,                0.49912,                0.39075,                 0.1517,                 0.4743,                0.47426,                0.36544,                0.12277,                 1.8776,                 3.2507,                 2.1408,                 1.5087,              0.0005097,              0.0005097,              0.0005097
                      4,                  1.768,                 2.7654,                 1.3795,                 1.3933,                0.49674,                 0.4708,                0.47997,                0.19008,                0.51144,                0.41239,                0.43109,                0.14467,                 1.9153,                 3.4479,                  2.107,                 1.5806,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.7705,                 2.6039,                 1.3444,                 1.4479,                 0.4892,                0.51504,                0.46794,                0.17777,                0.43589,                0.43186,                0.37611,                0.11948,                 2.0784,                 3.6033,                 2.5276,                 1.6947,             0.00084515,             0.00084515,             0.00084515
                      6,                  1.727,                 2.7325,                 1.3227,                 1.4178,                0.57819,                0.46195,                0.43949,                 0.1682,                0.52331,                0.39646,                0.36459,                0.11048,                 2.1518,                 4.0828,                 2.8234,                 1.6806,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.7072,                 2.7081,                 1.2607,                 1.3734,                0.48479,                0.60354,                0.47546,                0.17465,                0.41009,                0.51431,                0.34585,                0.10652,                 2.1427,                 5.6635,                 1.9955,                 1.6198,              0.0011663,              0.0011663,              0.0011663
                      8,                  1.708,                 2.6961,                 1.1757,                  1.351,                0.45614,                0.55814,                0.42986,                0.17143,                0.42651,                0.44779,                0.34381,                0.11244,                 1.8497,                  3.917,                  1.603,                 1.5437,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.7009,                 2.5345,                 1.1482,                 1.3462,                0.41731,                0.40885,                0.35689,                0.13027,                0.37861,                0.36637,                0.29678,                0.08779,                 2.1076,                 4.2923,                 1.5925,                 1.8088,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.7416,                 2.7159,                 1.2173,                 1.4029,                0.47802,                0.51705,                   0.43,                0.16221,                0.45451,                0.43186,                0.36089,                0.10494,                  2.063,                 4.1561,                 1.4309,                 1.8668,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.7634,                 2.7001,                 1.2354,                 1.3887,                0.56627,                0.45133,                 0.4741,                0.19758,                0.49304,                0.39246,                0.40338,                0.13979,                  2.005,                 4.9992,                 1.4379,                 1.6288,               0.001766,               0.001766,               0.001766
                     12,                 1.6528,                 2.7398,                 1.1776,                 1.3354,                0.48003,                0.51327,                 0.4029,                0.15134,                0.38881,                0.47965,                0.30446,                0.10788,                 2.0414,                  4.052,                 1.4231,                 1.7192,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6133,                 2.5584,                 1.2174,                 1.3523,                0.51489,                0.54867,                 0.4797,                0.18932,                0.49013,                0.43009,                0.36311,                0.12052,                 2.0526,                 4.0239,                 1.4876,                  1.702,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5893,                 2.6469,                 1.2054,                 1.3179,                0.50327,                0.52183,                0.44594,                0.18196,                0.46211,                0.44401,                0.36398,                0.12015,                 2.6839,                 4.0315,                 1.9845,                 2.1137,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6066,                  2.533,                 1.1664,                 1.3783,                0.57066,                0.61947,                0.53326,                0.21882,                 0.5317,                0.55463,                 0.4619,                0.16502,                  2.303,                 3.5945,                 1.4972,                 1.9946,              0.0017228,              0.0017228,              0.0017228
