                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5027,                  4.331,                 2.8931,                 2.0413,                0.11106,                0.75752,                0.22935,                0.07647,                0.09705,                0.66195,                0.18251,                0.05161,                 1.9163,                 3.4505,                 19.393,                 1.6616,                0.00016,                0.00016,                0.00016
                      2,                 2.0169,                 2.9742,                 1.7172,                 1.6802,                0.32007,                0.56283,                0.28031,                0.10203,                0.26351,                0.46018,                  0.204,                 0.0685,                 1.9567,                  3.384,                 3.5309,                 1.6224,             0.00032317,             0.00032317,             0.00032317
                      3,                 1.8496,                 2.7961,                 1.4679,                 1.4506,                0.39405,                0.51449,                 0.3303,                0.13062,                0.38965,                0.49039,                0.32013,                0.10774,                 1.8537,                 3.2315,                 2.2636,                 1.5106,             0.00046852,             0.00046852,             0.00046852
                      4,                 1.7568,                 2.7432,                 1.3777,                 1.3841,                0.52051,                0.55221,                0.51028,                0.20572,                0.50719,                0.46195,                  0.442,                0.15266,                 1.9454,                 3.5087,                 2.1063,                 1.5748,             0.00059605,             0.00059605,             0.00059605
                      5,                 1.7761,                  2.611,                 1.3627,                 1.4547,                0.48804,                0.56283,                0.48221,                0.17767,                0.41556,                 0.4885,                0.38323,                0.12141,                 2.0096,                 3.4339,                 2.4164,                 1.6501,             0.00070576,             0.00070576,             0.00070576
                      6,                 1.7051,                 2.6619,                  1.297,                 1.3992,                0.56443,                0.56283,                 0.5209,                0.19696,                0.50731,                0.49571,                0.45535,                0.14549,                 1.9639,                 3.7351,                 2.0643,                 1.5055,             0.00079765,             0.00079765,             0.00079765
                      7,                 1.6779,                 2.6275,                 1.2237,                 1.3467,                0.53599,                0.64606,                0.55182,                 0.2087,                0.48513,                0.59202,                0.45288,                0.14353,                 2.0274,                 4.1458,                  1.927,                  1.566,             0.00087172,             0.00087172,             0.00087172
                      8,                 1.6551,                 2.6499,                  1.132,                 1.3144,                0.51091,                0.64956,                0.51167,                0.19518,                0.50737,                0.52389,                0.42033,                0.13375,                  1.844,                 3.4447,                 1.8138,                 1.5519,             0.00092797,             0.00092797,             0.00092797
                      9,                 1.6436,                 2.5941,                 1.0859,                 1.3009,                0.48674,                0.56991,                0.48317,                0.17745,                0.47167,                0.42478,                0.38878,                0.12413,                 1.9042,                 3.4252,                 1.8059,                 1.6666,              0.0009664,              0.0009664,              0.0009664
                     10,                 1.7083,                  2.688,                 1.1345,                 1.3604,                0.52725,                0.57168,                  0.475,                0.18124,                0.46225,                0.50088,                0.38771,                0.12281,                 1.9223,                 3.5707,                 1.4887,                 1.7191,             0.00098701,             0.00098701,             0.00098701
                     11,                 1.6195,                 2.6941,                 1.2361,                  1.374,                0.50038,                0.58053,                0.49187,                0.19908,                0.48105,                0.52566,                0.44937,                0.15718,                 2.2238,                 3.3214,                 1.8765,                 1.8648,              0.0009898,              0.0009898,              0.0009898
                     12,                 1.6207,                   2.59,                 1.2373,                 1.3343,                0.53073,                0.60177,                0.52561,                0.21447,                0.50595,                0.56106,                0.48356,                0.16855,                 2.0954,                 3.4019,                 1.9724,                 1.7098,               0.000911,               0.000911,               0.000911
                     13,                 1.5591,                 2.6201,                 1.1492,                 1.3125,                0.54857,                0.60354,                0.54918,                  0.221,                0.51168,                0.55221,                0.48447,                0.16701,                 2.0634,                 3.2203,                 1.8312,                 1.7203,               0.000812,               0.000812,               0.000812
                     14,                   1.51,                 2.5382,                 1.1235,                 1.3196,                0.64454,                0.56991,                0.60686,                0.24652,                0.56818,                0.49204,                0.48105,                0.16268,                 2.0066,                 3.0415,                 1.7311,                 1.7494,               0.000713,               0.000713,               0.000713
                     15,                 1.5161,                 2.5322,                 1.1224,                 1.3192,                0.65245,                0.57522,                0.60426,                0.25113,                0.58276,                0.49194,                0.48686,                0.17199,                 1.8138,                 2.9881,                 1.4603,                 1.6234,               0.000614,               0.000614,               0.000614
                     16,                 1.4224,                 2.4008,                 1.0131,                 1.2405,                0.64543,                0.58761,                 0.5938,                0.24886,                0.57926,                0.54513,                0.49706,                0.18335,                 1.7889,                 2.9437,                 1.2949,                 1.5442,               0.000515,               0.000515,               0.000515
                     17,                 1.4445,                 2.3702,                0.99255,                 1.2511,                0.52913,                0.64838,                0.56729,                0.23896,                0.47913,                0.60726,                0.48592,                0.18336,                 1.8009,                 2.8828,                 1.2568,                 1.5238,               0.000416,               0.000416,               0.000416
                     18,                 1.4339,                 2.4174,                0.96555,                 1.2441,                0.51352,                0.66903,                0.58022,                0.24581,                0.47727,                0.64602,                0.51381,                0.18929,                 1.7957,                 2.8598,                 1.2582,                 1.5178,               0.000317,               0.000317,               0.000317
                     19,                 1.4172,                 2.3159,                0.94463,                  1.239,                 0.5874,                0.67611,                0.65156,                0.28478,                0.54386,                0.68319,                0.59431,                 0.2292,                 1.7388,                 2.7692,                 1.2133,                 1.5224,               0.000218,               0.000218,               0.000218
                     20,                 1.4144,                 2.3435,                0.94422,                 1.2263,                0.62102,                0.68142,                0.66683,                0.29502,                0.55384,                0.68496,                  0.608,                0.24062,                 1.7279,                  2.733,                 1.2075,                 1.5222,               0.000119,               0.000119,               0.000119
